Name;Mayores a 1;Pago 2;Despachos 2;Monedas 2;Shipping Method 2;Shipping Method;Cantidad;Producto;Precio oferta;Venta total;Precio normal;SKU;status despacho;Region 2
43322;Solo 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;pending;RM
43321;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;RM
43320;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43319;Solo 1;Pagado;Sin despacho;CLP;Despacho Region;Despacho Region;1;Zapatilla Chester Blanco Premium - Blanco / 40;19990;19990;49990;1000071040;pending;LI
43318;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Angelica Negro Premium - Negro / 38;29990;29990;0;100072038;fulfilled;RM
43317;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;VS
43316;Solo 1;Pagado;Sin despacho;CLP;Despacho Region;Despacho Region;1;Mochila Maura  Premium - Nude / Tama̱o �_nico;9990;9990;39990;6146075900;pending;BI
43315;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;RM
43314;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Calcetin   Premium - Negro / Tama̱o �_nico;990;990;3990;8502000;fulfilled;RM
43314;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;;1;Botin Atenas Negro Premium - Negro / 35;19990;19990;49990;37072035;fulfilled;RM
43313;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Grecia Amarillo Premium - Amarillo / 37;9990;9990;39990;318078337;fulfilled;RM
43313;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Grecia Negro Premium - Negro / 37;9990;9990;39990;318072037;fulfilled;RM
43312;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Calcetin   Premium - Multicolor / Tama̱o �_nico;990;990;4990;5503500;fulfilled;RM
43312;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;;1;Bootie  Dallas  Premium - Negro / 38;19990;19990;39990;8802072038;fulfilled;RM
43311;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;19990;49990;1003202038;fulfilled;NB
43310;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;19990;49990;1003202039;fulfilled;RM
43309;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;VS
43308;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;VS
43307;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bot�_n Texa Dorado Police - Dorado / 38;24990;24990;0;7938;pending;RM
43307;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;;1;Zapato Florencoia Burdeo Premium - Burdeo / 39;19990;19990;49990;20008539;pending;RM
43307;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;;1;Zapato Negro Delux - Negro / 38;29990;29990;43990;16238;pending;RM
43306;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43305;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;BI
43304;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Rob Negro Police - Negro / 37;29990;29990;0;5237;fulfilled;RM
43303;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Calcetin   Premium - Verde / Tama̱o �_nico;990;990;3990;6503600;fulfilled;RM
43303;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;;1;Mochila Maura  Premium - Negro / Tama̱o �_nico;9990;9990;39990;6132052000;fulfilled;RM
43302;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 38;19990;19990;39990;8802072038;fulfilled;RM
43301;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;RM
43300;Solo 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;9990;39990;3905058537;pending;RM
43299;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Toronto Negro Premium - Negro / 37;19990;19990;49990;100072037;fulfilled;RM
43298;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Toronto Negro Premium - Negro / 40;19990;19990;49990;100072040;fulfilled;RM
43297;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 40;19990;19990;89990;1002040;fulfilled;RM
43296;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;RM
43295;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Brisbane Caf̩ Premium - Negro / 40;9990;9990;49990;1003204040;fulfilled;CO
43294;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Lenny Negro Police - Negro / 37;29990;29990;0;5437;fulfilled;RM
43293;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Linz Animal Premium - Beige / 37;19990;19990;49990;37075437;fulfilled;RM
43292;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;2;Botin Valencia Negro Premium - Burdeo / 37;9990;19980;39990;3905058537;fulfilled;RM
43292;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;RM
43291;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Toronto Negro Premium - Negro / 38;19990;19990;49990;100072038;fulfilled;RM
43291;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;RM
43290;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Botin Toronto Negro Premium - Negro / 37;19990;19990;49990;100072037;fulfilled;LI
43289;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Angelica Negro Premium - Negro / 38;29990;29990;0;100072038;fulfilled;BI
43288;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;9990;39990;3905058537;fulfilled;RM
43287;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;RM
43286;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Toronto Negro Premium - Negro / 37;19990;19990;49990;100072037;fulfilled;RM
43285;Mayor a 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;pending;RM
43285;Mayor a 1;Pagado;Sin despacho;CLP;Retiro en tienda;;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;19990;49990;1003202039;pending;RM
43284;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43283;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Grecia Negro Premium - Negro / 38;9990;9990;39990;318072038;fulfilled;RM
43282;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapato Perugia Negro Premium - Negro / 37;19990;19990;29990;561052037;fulfilled;RM
43281;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;RM
43281;Mayor a 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
43280;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
43279;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Caf̩ Premium - Negro / 38;9990;9990;49990;1003204038;fulfilled;RM
43279;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 38;9990;9990;39990;23072938;fulfilled;RM
43278;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 36;19990;19990;49990;1003202036;fulfilled;BI
43277;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Frankfurt Blanco Premium - Blanco / 38;34990;34990;0;1001201038;fulfilled;RM
43276;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;9990;39990;3905058537;fulfilled;RM
43275;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 38;19990;19990;39990;8172078538;fulfilled;RM
43275;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;RM
43274;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43273;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Catalina Beige Premium - Beige / 36;29990;29990;0;1284436;fulfilled;RM
43272;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Grecia Negro Premium - Negro / 37;9990;9990;39990;318072037;fulfilled;RM
43271;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43270;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;19990;39990;6001202038;pending;RM
43270;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43269;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43268;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;RM
43267;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;19990;39990;6001202038;pending;RM
43267;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43266;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Shanghai Negro Premium - Negro / 36;29990;29990;0;300072036;fulfilled;RM
43265;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Caf̩ Premium - Negro / 38;9990;9990;49990;1003204038;fulfilled;RM
43264;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;19990;39990;6001202038;pending;RM
43264;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43263;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Bota  Cleveland Negro Premium - Negro / 38;19990;19990;89990;1002038;fulfilled;ML
43262;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43261;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;RM
43260;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Nina 672  Negro Delux - Negro / 39;34990;34990;49990;72939;fulfilled;RM
43259;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 40;9990;9990;39990;23076140;fulfilled;RM
43258;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Teca Negro Police - Negro / 35;29990;29990;0;9035;fulfilled;RM
43257;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Grecia Negro Premium - Negro / 38;9990;9990;39990;318072038;fulfilled;RM
43256;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Bootie  Dallas  Premium - Negro / 38;19990;19990;39990;8802072038;fulfilled;RM
43255;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 36;19990;19990;89990;1002036;fulfilled;RM
43254;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
43253;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 38;19990;19990;39990;8802072038;fulfilled;RM
43252;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Brisbane Caf̩ Premium - Negro / 38;9990;9990;49990;1003204038;fulfilled;RM
43251;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;AP
43250;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;39980;39990;6001202035;fulfilled;RM
43249;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapato Albacete Negro Premium - Negro / 37;14990;14990;29990;801072037;fulfilled;RM
43248;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;RM
43247;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Atenas Negro Premium - Negro / 38;19990;19990;49990;37072038;fulfilled;RM
43246;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapato Albacete Negro Premium - Negro / 35;14990;14990;29990;801182035;fulfilled;RM
43245;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43245;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Zapatilla Angelica Negro Premium - Negro / 39;29990;29990;0;100072039;fulfilled;RM
43244;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Brisbane Caf̩ Premium - Negro / 38;9990;9990;49990;1003204038;fulfilled;VS
43243;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;2;Zapatilla Moscow Negro Premium - Negro / 36;19990;39980;44990;1838072036;fulfilled;RM
43243;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;2;Zapatilla Moscow Negro Premium - Negro / 38;19990;39980;44990;1838072038;fulfilled;RM
43242;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatillas Sky Negro Police - Negro / 36;19990;19990;0;3936;fulfilled;RM
43241;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43240;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;RM
43239;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;19990;39990;6001202035;fulfilled;RM
43238;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
43238;Mayor a 1;Pagado;Despachado;CLP;Retiro en tienda;;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;RM
43237;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
